epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,697.684,1.42207,0.85807,1.07154,0.75043,0.7106,0.75624,0.51844,1.38287,0.88398,1.05263,0.000301543,0.000301543,0.000301543
2,1417.36,1.42769,0.85217,1.08483,0.72904,0.72338,0.77383,0.53177,1.3698,0.87651,1.07247,0.000592573,0.000592573,0.000592573
3,2161.25,1.45064,0.87837,1.09564,0.6678,0.72295,0.73591,0.50199,1.39139,0.92583,1.08036,0.000871605,0.000871605,0.000871605
4,2900.25,1.44951,0.87917,1.09206,0.71569,0.62611,0.68183,0.45816,1.4026,0.93772,1.08751,0.000855005,0.000855005,0.000855005
5,3618.56,1.4555,0.90736,1.09738,0.67273,0.6753,0.73925,0.47816,1.4199,0.94282,1.08832,0.000837007,0.000837007,0.000837007
6,4394.74,1.44652,0.88368,1.08996,0.70859,0.76262,0.74936,0.51033,1.39351,0.90679,1.07956,0.000819009,0.000819009,0.000819009
7,5220.76,1.42788,0.88308,1.07929,0.64702,0.70355,0.74449,0.51714,1.39868,0.90186,1.06964,0.000801011,0.000801011,0.000801011
8,5967.93,1.44413,0.87917,1.08735,0.68589,0.69477,0.70874,0.48956,1.4038,0.91959,1.07329,0.000783013,0.000783013,0.000783013
9,6719.57,1.41759,0.85465,1.09092,0.73648,0.66839,0.7148,0.48299,1.43764,0.91443,1.08046,0.000765014,0.000765014,0.000765014
10,7476.6,1.44372,0.86691,1.08802,0.75978,0.67974,0.74847,0.49561,1.42868,0.89106,1.09091,0.000747016,0.000747016,0.000747016
11,8176.98,1.45197,0.86398,1.08828,0.72899,0.70565,0.76024,0.51153,1.43074,0.8828,1.08647,0.000729018,0.000729018,0.000729018
12,8865.25,1.44022,0.85937,1.08727,0.76066,0.66762,0.74634,0.52001,1.42866,0.93534,1.07214,0.00071102,0.00071102,0.00071102
13,9510.21,1.42544,0.84443,1.08777,0.69918,0.7601,0.74985,0.49434,1.44367,0.92011,1.08577,0.000693022,0.000693022,0.000693022
14,10167.2,1.40118,0.84453,1.07973,0.73317,0.72,0.756,0.51584,1.39882,0.88253,1.09474,0.000675023,0.000675023,0.000675023
15,10817.6,1.4151,0.83864,1.08471,0.80984,0.67487,0.76746,0.51218,1.45624,0.87998,1.11517,0.000657025,0.000657025,0.000657025
16,11454.1,1.40922,0.813,1.07905,0.75795,0.7158,0.76728,0.51598,1.43716,0.85791,1.08608,0.000639027,0.000639027,0.000639027
17,12124.3,1.41562,0.82096,1.0852,0.72672,0.7223,0.7599,0.52777,1.43815,0.89757,1.1148,0.000621029,0.000621029,0.000621029
18,12784.4,1.37144,0.78894,1.06032,0.76477,0.68073,0.75706,0.54393,1.43336,0.86825,1.08674,0.000603031,0.000603031,0.000603031
19,13449.1,1.41367,0.81626,1.0795,0.75824,0.73511,0.76093,0.5132,1.41566,0.8627,1.08409,0.000585032,0.000585032,0.000585032
20,14096.1,1.39563,0.80967,1.06563,0.70152,0.6986,0.75268,0.51211,1.41978,0.89987,1.10317,0.000567034,0.000567034,0.000567034
21,14726.5,1.36307,0.78242,1.05642,0.73639,0.70403,0.75736,0.50477,1.42152,0.87088,1.08337,0.000549036,0.000549036,0.000549036
22,15391.3,1.40512,0.79682,1.07455,0.7426,0.71537,0.76041,0.52784,1.41753,0.85867,1.07629,0.000531038,0.000531038,0.000531038
23,16207.1,1.36245,0.79468,1.05932,0.83889,0.70686,0.77284,0.54363,1.3906,0.84729,1.07877,0.00051304,0.00051304,0.00051304
24,17357.4,1.36875,0.79664,1.06238,0.80842,0.7098,0.77915,0.55147,1.38787,0.83277,1.0789,0.000495041,0.000495041,0.000495041
25,18435.9,1.35836,0.78672,1.05219,0.78859,0.71337,0.78125,0.53297,1.41838,0.84505,1.09602,0.000477043,0.000477043,0.000477043
26,19478.6,1.38129,0.79057,1.0623,0.77064,0.72362,0.77356,0.51407,1.43233,0.83841,1.09424,0.000459045,0.000459045,0.000459045
27,20378.1,1.36114,0.78164,1.05721,0.73303,0.71452,0.74868,0.51845,1.40621,0.84801,1.08167,0.000441047,0.000441047,0.000441047
28,20969.9,1.34535,0.76677,1.05593,0.78682,0.73894,0.75552,0.52425,1.40702,0.83697,1.08373,0.000423049,0.000423049,0.000423049
29,21559.3,1.35916,0.7611,1.0615,0.72696,0.75013,0.77244,0.53776,1.41017,0.8401,1.07821,0.00040505,0.00040505,0.00040505
30,22147.3,1.34051,0.75277,1.05097,0.78374,0.72749,0.78367,0.54902,1.4207,0.81954,1.0911,0.000387052,0.000387052,0.000387052
31,22745.1,1.35141,0.75177,1.05045,0.78299,0.72318,0.78356,0.54186,1.41762,0.82905,1.09216,0.000369054,0.000369054,0.000369054
32,23352.6,1.31997,0.74879,1.03953,0.78195,0.73626,0.76609,0.5265,1.42203,0.8225,1.08517,0.000351056,0.000351056,0.000351056
33,23964.6,1.34953,0.75897,1.0466,0.85396,0.6987,0.7777,0.53557,1.41662,0.83903,1.09506,0.000333058,0.000333058,0.000333058
34,24555.8,1.33509,0.75306,1.05443,0.72862,0.74316,0.77646,0.54017,1.42902,0.83792,1.08369,0.000315059,0.000315059,0.000315059
35,25145.3,1.33249,0.74335,1.04787,0.77182,0.74767,0.76691,0.53862,1.43223,0.82798,1.07752,0.000297061,0.000297061,0.000297061
36,25724.3,1.31456,0.73228,1.04491,0.77771,0.75892,0.7815,0.55025,1.40389,0.81342,1.09704,0.000279063,0.000279063,0.000279063
37,26292.8,1.30015,0.7175,1.03959,0.80493,0.713,0.77338,0.54266,1.41763,0.81808,1.08838,0.000261065,0.000261065,0.000261065
38,26880.5,1.29617,0.71986,1.04429,0.77997,0.72381,0.77223,0.53521,1.42579,0.80659,1.08517,0.000243067,0.000243067,0.000243067
39,27469.4,1.30397,0.72428,1.03921,0.74499,0.75714,0.75542,0.52708,1.41648,0.82092,1.09391,0.000225068,0.000225068,0.000225068
40,28064.8,1.2954,0.7251,1.02924,0.80226,0.70923,0.76789,0.53515,1.40939,0.8209,1.10089,0.00020707,0.00020707,0.00020707
41,28642.7,1.3102,0.73213,1.03358,0.7426,0.684,0.7566,0.52735,1.43129,0.83099,1.10404,0.000189072,0.000189072,0.000189072
42,29218,1.29564,0.72202,1.03278,0.77124,0.69127,0.75391,0.53543,1.41712,0.82072,1.09849,0.000171074,0.000171074,0.000171074
43,29795.3,1.28963,0.71634,1.03163,0.73529,0.72296,0.76153,0.54427,1.42454,0.82414,1.0859,0.000153076,0.000153076,0.000153076
44,30376.4,1.2781,0.70533,1.03191,0.76837,0.7167,0.77287,0.54394,1.4348,0.81562,1.09922,0.000135077,0.000135077,0.000135077
45,30953.3,1.28384,0.70564,1.03238,0.79881,0.71789,0.77428,0.54868,1.42548,0.8076,1.10274,0.000117079,0.000117079,0.000117079
46,31531.8,1.26518,0.69776,1.02278,0.72892,0.73484,0.76881,0.54114,1.42324,0.80829,1.10388,9.9081e-05,9.9081e-05,9.9081e-05
47,32138,1.27369,0.69506,1.02745,0.73431,0.75567,0.77783,0.55376,1.42704,0.81261,1.10023,8.10828e-05,8.10828e-05,8.10828e-05
48,32876,1.26265,0.69456,1.0238,0.74129,0.72633,0.77306,0.55352,1.42311,0.81144,1.10085,6.30846e-05,6.30846e-05,6.30846e-05
49,33571,1.26295,0.70227,1.02496,0.7347,0.73784,0.77647,0.55077,1.4213,0.80507,1.09967,4.50864e-05,4.50864e-05,4.50864e-05
50,34263.6,1.25285,0.68486,1.01845,0.73417,0.73242,0.77372,0.5527,1.42471,0.80452,1.09841,2.70882e-05,2.70882e-05,2.70882e-05
