epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.752,1.40714,5.02159,0.92668,0.51428,0.05194,0.08042,0.04669,1.24318,4.50982,0.89795,0.000362618,0.000362618,0.000362618
2,339.479,1.35222,3.71207,0.89872,0.25271,0.30695,0.30585,0.20462,1.2265,3.4058,0.89442,0.00069667,0.00069667,0.00069667
3,542.628,1.29869,3.26457,0.88711,0.39341,0.40211,0.39328,0.25649,1.22767,2.95942,0.88876,0.00099406,0.00099406,0.00099406
4,801.424,1.2008,2.87667,0.87216,0.41083,0.45326,0.43186,0.29955,1.13563,2.63925,0.88106,0.000946016,0.000946016,0.000946016
5,1018.2,1.18106,2.86365,0.88206,0.42488,0.55713,0.44942,0.32376,1.0125,2.53046,0.86148,0.000891022,0.000891022,0.000891022
6,1222.32,1.15576,2.46875,0.86692,0.39311,0.54825,0.46381,0.32499,1.02226,2.24706,0.86204,0.000836027,0.000836027,0.000836027
7,1423.03,1.10234,2.36947,0.87223,0.52315,0.60687,0.47922,0.33972,0.95973,2.19762,0.85438,0.000781033,0.000781033,0.000781033
8,1623.04,1.05845,2.18674,0.87862,0.52067,0.54741,0.48797,0.34142,1.04315,2.128,0.86083,0.000726038,0.000726038,0.000726038
9,1824.94,1.06006,2.18284,0.86347,0.48559,0.71472,0.5046,0.35185,0.97409,2.07659,0.86061,0.000671044,0.000671044,0.000671044
10,2021.52,1.1176,2.2437,0.88723,0.57084,0.651,0.54375,0.38933,1.00578,1.9581,0.86437,0.000616049,0.000616049,0.000616049
11,2219.96,0.99552,2.41362,0.87029,0.58187,0.5879,0.56539,0.43545,0.88544,1.93442,0.84563,0.000561055,0.000561055,0.000561055
12,2413.12,1.01093,2.50914,0.86474,0.54345,0.67195,0.5511,0.42617,0.85502,1.90242,0.83824,0.00050606,0.00050606,0.00050606
13,2605.27,0.93835,2.31406,0.84887,0.60306,0.66811,0.64329,0.48652,0.91434,1.78951,0.849,0.000451066,0.000451066,0.000451066
14,2804.82,0.93459,2.23983,0.85254,0.60434,0.66374,0.66533,0.53186,0.80851,1.65981,0.8342,0.000396071,0.000396071,0.000396071
15,3011.76,0.907,2.02377,0.8454,0.62433,0.72673,0.68989,0.55397,0.78885,1.61861,0.83138,0.000341077,0.000341077,0.000341077
16,3212.31,0.87965,2.05025,0.83792,0.7318,0.71119,0.73033,0.57064,0.82087,1.603,0.83187,0.000286083,0.000286083,0.000286083
17,3414.33,0.84967,2.0741,0.84273,0.7066,0.64272,0.69893,0.54313,0.79328,1.59596,0.82879,0.000231088,0.000231088,0.000231088
18,3612.05,0.85662,1.90362,0.83773,0.64685,0.66458,0.6807,0.53605,0.78041,1.56307,0.82877,0.000176094,0.000176094,0.000176094
19,3808.53,0.84874,2.07509,0.81599,0.69958,0.67514,0.71321,0.57362,0.75496,1.50575,0.82706,0.000121099,0.000121099,0.000121099
20,4003.76,0.8018,1.84089,0.83971,0.66223,0.73437,0.71313,0.57835,0.74659,1.50088,0.82605,6.61045e-05,6.61045e-05,6.61045e-05
