epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1134.96,1.65724,2.61369,1.10438,0.29128,0.25031,0.1894,0.10569,1.60662,2.08688,1.10371,0.000301948,0.000301948,0.000301948
2,2255.16,1.62593,1.74708,1.12136,0.453,0.37092,0.31211,0.19822,1.57312,1.83264,1.09459,0.00059297,0.00059297,0.00059297
3,3394.69,1.61026,1.63957,1.1223,0.50349,0.39909,0.36245,0.22173,1.56362,1.71337,1.10182,0.000871993,0.000871993,0.000871993
4,4405.76,1.59218,1.58518,1.12947,0.40586,0.43882,0.37279,0.23967,1.54422,1.64503,1.10871,0.000855005,0.000855005,0.000855005
5,5889.02,1.5696,1.51876,1.12448,0.43936,0.45581,0.40341,0.24557,1.5576,1.52598,1.09738,0.000837007,0.000837007,0.000837007
6,7342.23,1.5457,1.45946,1.11284,0.37185,0.46395,0.45337,0.27432,1.52459,1.46632,1.10124,0.000819009,0.000819009,0.000819009
7,8748.83,1.53892,1.39193,1.10522,0.39003,0.53342,0.46565,0.31239,1.46191,1.42876,1.06873,0.000801011,0.000801011,0.000801011
8,9709.78,1.51384,1.37369,1.10424,0.3265,0.55662,0.43102,0.2898,1.47651,1.37999,1.1017,0.000783013,0.000783013,0.000783013
9,10597.9,1.49834,1.34548,1.10372,0.4058,0.53478,0.46704,0.31564,1.47573,1.36667,1.09273,0.000765014,0.000765014,0.000765014
10,11509,1.49498,1.33171,1.09499,0.41926,0.56716,0.46856,0.316,1.47707,1.3519,1.09699,0.000747016,0.000747016,0.000747016
11,12434.5,1.49443,1.29533,1.09299,0.39569,0.60367,0.51763,0.34997,1.44097,1.29755,1.07218,0.000729018,0.000729018,0.000729018
12,13331.2,1.50584,1.29745,1.10252,0.52112,0.54485,0.53781,0.36714,1.44402,1.27617,1.06328,0.00071102,0.00071102,0.00071102
13,14239.2,1.4868,1.29363,1.08893,0.45283,0.54273,0.4891,0.33729,1.44272,1.29439,1.07336,0.000693022,0.000693022,0.000693022
14,15164.4,1.48335,1.26035,1.08116,0.43457,0.51768,0.48459,0.32928,1.42728,1.26174,1.0646,0.000675023,0.000675023,0.000675023
15,16072,1.45255,1.24994,1.07901,0.48088,0.58242,0.52468,0.35359,1.44894,1.23547,1.07362,0.000657025,0.000657025,0.000657025
