epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1011.21,1.38725,0.85519,1.04444,0.68351,0.75577,0.75113,0.51486,1.39755,0.86262,1.03307,0.000301948,0.000301948,0.000301948
2,2102.46,1.42904,0.8643,1.06221,0.71457,0.73275,0.76164,0.52939,1.41258,0.88636,1.04426,0.00059297,0.00059297,0.00059297
3,3064.14,1.43687,0.88016,1.07136,0.7383,0.62349,0.71598,0.49829,1.42157,0.89573,1.06894,0.000871993,0.000871993,0.000871993
