epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.922,1.4188,5.02627,0.92517,4e-05,0.00465,2e-05,0,1.18595,4.88317,0.8713,0.000362618,0.000362618,0.000362618
2,273.828,1.34488,3.65355,0.89375,0.77006,0.06667,0.27209,0.17387,1.21203,3.98404,0.88874,0.000718439,0.000718439,0.000718439
3,416.582,1.29603,3.18145,0.88629,0.31384,0.45684,0.39194,0.2652,1.1352,3.05366,0.8783,0.00105959,0.00105959,0.00105959
4,561.974,1.22188,2.80152,0.87932,0.35305,0.47739,0.43195,0.30237,1.11322,2.59882,0.8885,0.00104501,0.00104501,0.00104501
5,703.831,1.22327,2.80699,0.8898,0.38826,0.5289,0.47619,0.32408,1.09466,2.51904,0.87334,0.00102301,0.00102301,0.00102301
6,845.096,1.2025,2.40062,0.88165,0.43527,0.59486,0.47186,0.32765,1.04408,2.22885,0.87573,0.00100101,0.00100101,0.00100101
7,984.995,1.1578,2.33144,0.8788,0.5124,0.73173,0.54406,0.36784,0.99512,2.08571,0.85621,0.000979013,0.000979013,0.000979013
8,1126.22,1.1154,2.16747,0.88252,0.50915,0.67504,0.59589,0.40956,1.09284,2.03759,0.87469,0.000957015,0.000957015,0.000957015
9,1268.44,1.11188,2.13462,0.86571,0.49251,0.75756,0.55864,0.40302,0.96721,2.07636,0.85694,0.000935018,0.000935018,0.000935018
10,1410.48,1.14225,2.16547,0.89197,0.55275,0.75517,0.63555,0.4664,0.99872,1.912,0.86263,0.00091302,0.00091302,0.00091302
11,1551.01,1.05378,1.93267,0.88142,0.7065,0.63784,0.65891,0.4796,0.95308,1.73649,0.8592,0.000891022,0.000891022,0.000891022
12,1694.92,1.01344,1.75787,0.88757,0.65516,0.65836,0.69939,0.49317,1.00387,1.67332,0.87182,0.000869024,0.000869024,0.000869024
13,1845.5,0.95199,1.72151,0.84821,0.61867,0.75176,0.70247,0.53161,0.91062,1.6361,0.84526,0.000847026,0.000847026,0.000847026
14,1991.29,0.97134,1.7445,0.84711,0.68398,0.7838,0.73135,0.53564,0.92741,1.59906,0.84788,0.000825029,0.000825029,0.000825029
15,2137.04,0.94092,1.6617,0.83821,0.65008,0.77108,0.73732,0.55274,0.88784,1.55395,0.84593,0.000803031,0.000803031,0.000803031
16,2281.83,0.95329,1.57851,0.85448,0.63764,0.69639,0.70703,0.52311,0.92387,1.52788,0.85394,0.000781033,0.000781033,0.000781033
17,2427.89,0.92636,1.56722,0.84029,0.79409,0.68175,0.76708,0.56829,0.89562,1.40615,0.85128,0.000759035,0.000759035,0.000759035
18,2573.43,0.9191,1.501,0.85736,0.76954,0.72868,0.78634,0.56357,0.95619,1.4285,0.85815,0.000737037,0.000737037,0.000737037
19,2718.69,0.91487,1.51946,0.82937,0.65072,0.75901,0.73134,0.56263,0.82169,1.43455,0.84318,0.00071504,0.00071504,0.00071504
20,2864.23,0.90167,1.44974,0.84202,0.73914,0.70502,0.75819,0.55811,0.96323,1.40106,0.86017,0.000693042,0.000693042,0.000693042
21,3010.6,0.8305,1.28211,0.82186,0.71672,0.69071,0.72971,0.57476,0.76021,1.34868,0.83363,0.000671044,0.000671044,0.000671044
22,3155.71,0.89297,1.34103,0.83062,0.72616,0.76003,0.79007,0.57981,0.95097,1.34096,0.85094,0.000649046,0.000649046,0.000649046
23,3303.16,0.82272,1.30775,0.82052,0.80848,0.75073,0.79682,0.60894,0.81261,1.29007,0.83611,0.000627048,0.000627048,0.000627048
24,3449.41,0.83541,1.21972,0.82751,0.86384,0.72223,0.8097,0.62832,0.84716,1.21658,0.84155,0.000605051,0.000605051,0.000605051
25,3595.61,0.84268,1.29462,0.83293,0.82079,0.69702,0.79701,0.60507,0.85232,1.26444,0.83869,0.000583053,0.000583053,0.000583053
26,3742.52,0.83688,1.21102,0.83208,0.85663,0.77898,0.85379,0.65013,0.87865,1.16376,0.83943,0.000561055,0.000561055,0.000561055
27,3890.06,0.82092,1.20222,0.81664,0.82456,0.77247,0.85054,0.65322,0.83451,1.09705,0.84156,0.000539057,0.000539057,0.000539057
28,4036.3,0.80999,1.19893,0.82263,0.8201,0.7664,0.84694,0.63953,0.86679,1.18006,0.84496,0.000517059,0.000517059,0.000517059
29,4185.18,0.83901,1.14676,0.82647,0.6843,0.82641,0.79884,0.61154,0.80582,1.15301,0.83548,0.000495062,0.000495062,0.000495062
30,4330.38,0.80464,1.11666,0.82729,0.75049,0.83282,0.81187,0.6143,0.83785,1.18874,0.83801,0.000473064,0.000473064,0.000473064
31,4475.24,0.84461,1.08844,0.82534,0.73352,0.75045,0.77804,0.57877,0.88152,1.28877,0.84377,0.000451066,0.000451066,0.000451066
32,4620.53,0.78902,1.04134,0.81715,0.81272,0.74791,0.81961,0.62513,0.80812,1.16076,0.83936,0.000429068,0.000429068,0.000429068
33,4764.75,0.80274,1.03362,0.82132,0.76048,0.78419,0.84871,0.65107,0.78967,1.09656,0.8322,0.00040707,0.00040707,0.00040707
34,4907.93,0.72848,0.987,0.81421,0.73435,0.83465,0.83409,0.63142,0.81697,1.07643,0.8344,0.000385073,0.000385073,0.000385073
35,5050.79,0.81187,1.02849,0.8255,0.8499,0.7159,0.85003,0.64128,0.82125,1.05624,0.83903,0.000363075,0.000363075,0.000363075
36,5194.29,0.80032,1.01179,0.80651,0.76967,0.81932,0.84592,0.64914,0.79498,1.07996,0.83634,0.000341077,0.000341077,0.000341077
37,5339.19,0.78471,0.97463,0.80569,0.78609,0.81381,0.84557,0.6324,0.83613,1.09835,0.83854,0.000319079,0.000319079,0.000319079
38,5481.16,0.76447,0.93676,0.82311,0.79851,0.85105,0.86366,0.66073,0.82595,1.05448,0.83786,0.000297081,0.000297081,0.000297081
39,5627.67,0.73545,0.92453,0.80784,0.83946,0.70214,0.83602,0.63104,0.80857,1.08969,0.83766,0.000275084,0.000275084,0.000275084
40,5770.21,0.73928,0.91858,0.81671,0.88604,0.7066,0.85068,0.64738,0.80238,1.03412,0.83679,0.000253086,0.000253086,0.000253086
41,5917.78,0.7971,1.12089,0.81868,0.82169,0.805,0.86902,0.70296,0.68005,0.97422,0.82297,0.000231088,0.000231088,0.000231088
42,6061.52,0.73504,1.04271,0.81742,0.82837,0.76684,0.87012,0.69125,0.71784,0.96388,0.82225,0.00020909,0.00020909,0.00020909
43,6205.04,0.74976,1.02284,0.82674,0.85534,0.74749,0.86845,0.7053,0.68514,0.95071,0.82056,0.000187092,0.000187092,0.000187092
44,6347.67,0.73455,0.98355,0.80516,0.83084,0.7743,0.87312,0.70596,0.70171,0.94088,0.82078,0.000165095,0.000165095,0.000165095
45,6489.36,0.72538,1.01386,0.81721,0.85718,0.8363,0.88415,0.70852,0.70051,0.91336,0.81969,0.000143097,0.000143097,0.000143097
46,6632.09,0.70858,0.94663,0.81869,0.88051,0.72769,0.87031,0.68294,0.70884,0.91941,0.82216,0.000121099,0.000121099,0.000121099
47,6775.59,0.68776,0.9693,0.79905,0.77429,0.83712,0.85772,0.66655,0.70588,0.9311,0.82192,9.91012e-05,9.91012e-05,9.91012e-05
48,6923.39,0.67568,0.94745,0.81172,0.84096,0.76721,0.85824,0.67523,0.69935,0.92585,0.82084,7.71034e-05,7.71034e-05,7.71034e-05
49,7068.21,0.66757,0.92344,0.79721,0.8667,0.76445,0.8636,0.69581,0.684,0.91358,0.81907,5.51056e-05,5.51056e-05,5.51056e-05
